epoch,train_loss,val_macro_skill,val_global_mae,val_mse_std,val_curve_mae,lr,seconds
0,1.0544423478076588,-0.04982685786710772,9.335278511047363,0.28378579020500183,37.402955920648054,0.0009972609476841367,25.7
1,0.9518730623295178,-0.0724010982997556,12.076156616210938,0.3432091474533081,34.18165544799663,0.0009890738003669028,26.7
2,0.8503225173901867,0.013463231368265438,10.835718154907227,0.29909321665763855,31.346066837622907,0.0009755282581475768,26.8
3,0.8240639589525558,0.007031373482324077,11.074926376342773,0.288770854473114,30.044888135770133,0.0009567727288213003,26.9
4,0.7815979856091577,-0.11559831002012544,13.567699432373047,0.40892452001571655,30.23123185774951,0.0009330127018922195,26.6
5,0.6624547556244038,-0.06889746913309147,12.526651382446289,0.3537563979625702,31.0230902645334,0.0009045084971874739,26.8
6,0.5946940632688033,-0.20281351902084555,15.020326614379883,0.53727787733078,30.180873204017278,0.0008715724127386972,27.0
7,0.5420229333780102,-0.032980010509081614,11.858966827392578,0.3527590036392212,28.667206050953926,0.0008345653031794292,26.9
8,0.53340056800359,-0.05728891709542938,12.480888366699219,0.39359810948371887,27.986964025701386,0.0007938926261462366,27.0
9,0.3970543680259505,-0.08129517833706101,12.733790397644043,0.419791579246521,27.863525208104807,0.00075,26.9
10,0.4057352489514931,-0.1447107885614245,13.310343742370605,0.48525726795196533,28.49156999207757,0.0007033683215379003,26.8
11,0.3173176556624271,-0.1222088979622018,12.865772247314453,0.4536580741405487,27.66178727022691,0.0006545084971874739,27.0
12,0.26509020729242144,-0.07752718264926384,12.655699729919434,0.44364550709724426,25.89721558063677,0.0006039558454088797,27.0
